date,Time,Temp (F),Humidity,Wind Speed,Condition
1/1/2025,1/1/2025 0:00,27,89,9.4,2
1/1/2025,1/1/2025 1:00,26.3,92,1.8,2
1/1/2025,1/1/2025 2:00,26,94,5.4,5
1/1/2025,1/1/2025 3:00,25.8,95,0,5
1/1/2025,1/1/2025 4:00,25,94,9.4,5
1/1/2025,1/1/2025 5:00,25,94,5.4,5
1/1/2025,1/1/2025 6:00,25,96,5.4,5
1/1/2025,1/1/2025 7:00,25,94,3.6,5
1/1/2025,1/1/2025 8:00,27,94,16.6,5
1/1/2025,1/1/2025 9:00,28.8,83,18.4,5
1/1/2025,1/1/2025 10:00,31,71,16.6,5
1/1/2025,1/1/2025 11:00,32,63,11.2,3
1/1/2025,1/1/2025 12:00,34,51,9.4,3
1/1/2025,1/1/2025 13:00,35,53,9.4,3
1/1/2025,1/1/2025 14:00,34,56,22.3,3
1/1/2025,1/1/2025 15:00,34,56,27.7,2
1/1/2025,1/1/2025 16:00,32,63,18.4,2
1/1/2025,1/1/2025 17:00,30,66,18.4,2
1/1/2025,1/1/2025 18:00,29,75,13,2
1/1/2025,1/1/2025 19:00,29,79,9.4,2
1/1/2025,1/1/2025 20:00,28,84,7.6,2
1/1/2025,1/1/2025 21:00,27.7,84,9.4,2
1/1/2025,1/1/2025 22:00,27,89,9.4,2
1/1/2025,1/1/2025 23:00,27,89,9.4,2
1/2/2025,1/2/2025 0:00,26.9,89,0,2
1/2/2025,1/2/2025 1:00,26,94,7.6,2
1/2/2025,1/2/2025 2:00,26,94,3.6,2
1/2/2025,1/2/2025 3:00,25.7,93,0,2
1/2/2025,1/2/2025 4:00,25,94,3.6,2
1/2/2025,1/2/2025 5:00,25,94,3.6,2
1/2/2025,1/2/2025 6:00,25.1,95,0,5
1/2/2025,1/2/2025 7:00,25,94,3.6,5
1/2/2025,1/2/2025 8:00,27,89,3.6,5
1/2/2025,1/2/2025 9:00,30,76,11.2,5
1/2/2025,1/2/2025 10:00,31,71,11.2,5
1/2/2025,1/2/2025 11:00,33,63,11.2,3
1/2/2025,1/2/2025 12:00,34,57,11.2,3
1/2/2025,1/2/2025 13:00,35,53,7.6,3
1/2/2025,1/2/2025 14:00,35,56,18.4,3
1/2/2025,1/2/2025 15:00,34.2,59,16.6,3
1/2/2025,1/2/2025 16:00,33,63,18.4,2
1/2/2025,1/2/2025 17:00,31,66,11.2,2
1/2/2025,1/2/2025 18:00,29.3,76,18.4,2
1/2/2025,1/2/2025 19:00,29,79,13,2
1/2/2025,1/2/2025 20:00,28,84,14.8,2
1/2/2025,1/2/2025 21:00,28,85,5.4,2
1/2/2025,1/2/2025 22:00,28,84,5.4,2
1/2/2025,1/2/2025 23:00,28,84,5.4,2
1/3/2025,1/3/2025 0:00,27.2,91,7.6,2
1/3/2025,1/3/2025 1:00,27,89,7.6,2
1/3/2025,1/3/2025 2:00,27,89,5.4,2
1/3/2025,1/3/2025 3:00,26.4,94,5.4,2
1/3/2025,1/3/2025 4:00,26,94,5.4,2
1/3/2025,1/3/2025 5:00,25,100,3.6,2
1/3/2025,1/3/2025 6:00,25.2,97,0,5
1/3/2025,1/3/2025 7:00,26,94,5.4,5
1/3/2025,1/3/2025 8:00,28,89,7.6,5
1/3/2025,1/3/2025 9:00,30,78,14.8,5
1/3/2025,1/3/2025 10:00,31,71,16.6,3
1/3/2025,1/3/2025 11:00,32,63,9.4,3
1/3/2025,1/3/2025 12:00,33,61,18.4,3
1/3/2025,1/3/2025 13:00,34,56,14.8,3
1/3/2025,1/3/2025 14:00,34,56,16.6,3
1/3/2025,1/3/2025 15:00,33.5,58,18.4,3
1/3/2025,1/3/2025 16:00,32,63,14.8,3
1/3/2025,1/3/2025 17:00,31,63,14.8,3
1/3/2025,1/3/2025 18:00,29.4,76,13,2
1/3/2025,1/3/2025 19:00,28,84,7.6,2
1/3/2025,1/3/2025 20:00,28,89,9.4,2
1/3/2025,1/3/2025 21:00,27.8,89,7.6,2
1/3/2025,1/3/2025 22:00,27,94,7.6,2
1/3/2025,1/3/2025 23:00,27,94,9.4,2
1/4/2025,1/4/2025 0:00,27.1,92,0,2
1/4/2025,1/4/2025 1:00,27,94,3.6,2
1/4/2025,1/4/2025 2:00,26,94,5.4,2
1/4/2025,1/4/2025 3:00,26.2,94,0,2
1/4/2025,1/4/2025 4:00,26,94,5.4,2
1/4/2025,1/4/2025 5:00,25,100,3.6,2
1/4/2025,1/4/2025 6:00,25.4,96,0,5
1/4/2025,1/4/2025 7:00,27,94,3.6,5
1/4/2025,1/4/2025 8:00,28,89,11.2,5
1/4/2025,1/4/2025 9:00,29.3,84,11.2,3
1/4/2025,1/4/2025 10:00,31,71,14.8,3
1/4/2025,1/4/2025 11:00,33,63,14.8,3
1/4/2025,1/4/2025 12:00,34.2,58,14.8,3
1/4/2025,1/4/2025 13:00,33,63,11.2,3
1/4/2025,1/4/2025 14:00,34,60,16.6,3
1/4/2025,1/4/2025 15:00,33.7,61,18.4,3
1/4/2025,1/4/2025 16:00,34,60,18.4,3
1/4/2025,1/4/2025 17:00,31,71,14.8,3
1/4/2025,1/4/2025 18:00,29.3,79,9.4,3
1/4/2025,1/4/2025 19:00,29,84,9.4,2
1/4/2025,1/4/2025 20:00,29,84,14.8,2
1/4/2025,1/4/2025 21:00,28.3,87,7.6,2
1/4/2025,1/4/2025 22:00,28,89,5.4,2
1/4/2025,1/4/2025 23:00,28,89,9.4,2
1/5/2025,1/5/2025 0:00,27.4,92,5.4,2
1/5/2025,1/5/2025 1:00,27,94,3.6,2
1/5/2025,1/5/2025 2:00,27,94,3.6,2
1/5/2025,1/5/2025 3:00,26.6,94,0,2
1/5/2025,1/5/2025 4:00,26,100,3.6,5
1/5/2025,1/5/2025 5:00,26,100,3.6,5
1/5/2025,1/5/2025 6:00,26.4,96,7.6,5
